"Español","Quechua (OPS/OMS Bolivia 2013)","Quechua corregido","Aymara"
"Tienes que hacerte operar","Operachikunayki tiyan","",""
"Tiene que hacerse operar (refiriéndose a una tercera persona)","Operachikunan tiyan","",""
"Esto hay que limpiar para curar","Kayta jampinapaq mayllana tiyan","",""
"Esto tenemos que coser","Kayta siranayku tiyan","",""
"Hay que poner yeso","Yesota churana tiyan","",""
"Hay que poner inyección","Inyeccionta churana tiyan","",""
"Hay que poner un suero","Suerota churana tiyan","",""
"Hay que poner sonda","Sondata churana tiyan","",""
"Este medicamento tienes que tomar","Kay jampita ukyanayki tiyan","",""
"Este medicamento tiene que tomar (refiriéndose a una tercera persona)","Kay jampita ukyanan tiyan","",""
"Este medicamento tienes que tragar","Kay jampita uquykunayki tiyan","",""
"Este medicamento tiene que tragar (refiriéndose a una tercera persona)","Kay jampita uquykunan tiyan","",""
"Al despertar... Una cucharada... Vas a tomar","Rijcharispa... Uj cucharata... Ujyaykunki","",""
"En la mañana... Dos cucharadas... Va a tomar Paqarimpi... Iskay cucharata.. (refiriéndose a una","tercera persona) Ujyaykunqa","",""
"Antes de comer... Una pildora... Vas a tragar","Q’utuykunki Manaraj mikusaspa... Uj pildorata...","",""
"En la tarde... Tres pildoras... Le vas a hacer tragar","Tardepi... Kinsa pidorata... Q’utuchinki","",""
"En la noche... Con esta pomada.. Te vas a untar","Tutapi... Kayjawinawan... Jawikunki","",""
"Una gota Se va a untar Uj (refiriéndose a una Con estas sufuta tercera persona)","Jawikunqa","",""
"Antes de dormir... gotas... Dos gotas Le vas a untar","Iskay Jawinki Manaraj puñusaspa... Kay sufuta sut’uchiTe vas hacer gotear Sut’uchikunki nawan...","",""
"Tienes que ir a un especialista","Juk especialistaman rinayki tiyan","",""
"Vas a volver si te da lo mismo","Kikillanpuni kaspaqa kutimunki","",""
"Vas a volver...","Kutimunki...","",""
"De un día;","Juk p’unchawmanta","",""
"De dos días","Iskay p’unchawmanta","",""
"De tres días","Kimsa p’unchawmanta","",""
"De una Semana","Juk semanamanta","",""
"De dos semanas","Iskay semanamanta","",""
"De tres semanas","Kimsa semanamanta","",""
"De un mes","Juk killamanta","",""
"De dos meses","Iskay killamanta","",""
"De tres meses","Kimsa killamanta","",""
"De un año","Juk watamanta","",""
"De dos años","Iskay watamanta","",""
"De tres años","Kimsa watamanta","",""
"No estás tan enfermo (no es nada grave)","Mana ancha unqusqachu kanki","",""
"No tengas miedo","Ama mancharikuychu","",""
"No te preocupes","Ama llakikuychu","",""
"Te vamos a ayudar","Yanapasusqayku","",""
"Te vas a sanar","Thaniyakunki","",""
"Se va a sanar (refiriéndose a una tercera persona)","Thaniyakunqa","",""
"¿Te puedo hacer algunas preguntas personales?","¿Tapuriykimanchu?","",""
"¿Alguna vez tu marido te ha lastimado?","¿Jayk’aqllapis qusayki maqayta yachasunkichu?","",""
"¿Alguna vez tu pareja te ha lastimado?","¿Jayk’aqllapis yananchayki maqayta yachasunkichu?","",""
"¿Te ha dado empujones? (¿te empujonea?)","¿Tanqaykachasunkichu?","",""
"¿Te ha golpeado con el puño? (¿te ha dado puñetazos?)","¿Saqmaykachasunkichu?","",""
"¿Te pellizca?","¿K’ichisunkichu?","",""
"¿Te ha dado patadas?","¿Jayt’asunkichu?","",""
"¿Te ha dado cachetadas?","¿Laq’asunkichu?","",""
"¿Le tienes miedo?","¿Manchachikunkichu?","",""
"¿Le tienes miedo a tu marido?","¿Qusaykita manchachikunkichu?","",""
"¿Le tienes miedo a tu pareja?","¿Yananchaykita manchachikunkichu?","",""
"¿Te insulta?","¿Turiyasunkichu?","",""
"¿Se burla de vos?","¿Qammanta asikunchu?","",""
"¿Te controla?","¿Tukuy imatachu qhawasunki?","",""
"¿Te amenaza?","¿Manchachisunkichu?","",""
"¿Destruye objetos de la casa? (¿rompe las cosas de la casa?)","¿Imakunachus kapusunki chayta p’akirapusunkichu?","",""
"¿Golpea a tus hijos?","¿Wawakunaykita maqanchu?","",""
"¿Tienes que pedir permiso para venir al hospital?","¿Hospitalman jamunaykipaq paymanraqchu willanki?","",""
"¿Te deja salir?","¿Lluqsiqta saqillasunkichu?","",""
"¿Te obliga a dormir con él? (¿Te obligan a tener relaciones sexuales?)","¿Mana paywan puñuy munaqtiykipis puñunachik nillasunkipunichu?","",""
"¿Aunque no quieras?","¿Manapuni munaqtiykipischu?","",""
"¿Cuántos hijos tienes?","¿Mayk’a wawayuqtaq kanki?","",""
"¿Cuántos hijos quieres tener?","¿Mayk’a wawayuqtaq kayta munanki?","",""
"¿Ya no quieres tener más hijos?","¿Manañachu wawayuq kayta munanki?","",""
"¿Sabías que tú puedes decidir cuántos hijos tener?","¿Yachankichu qammanta kasqanta mayk’a wawayuqchus kayta munasqayki?","",""
"¿Sabes qué es un anticonceptivo?","¿Yachankichu imachus anticonceptivo kasqanta?","",""
"Los anticonceptivos son para que no te embaraces","Anticonceptivosqa mana unquq rikhurinaykipaq","",""
"Si usas un anticonceptivo ya no te vas embarazar","Anticonceptivoswanqa mañana unquq rikhurinkichu","",""
"¿Sabías que puedes evitar embarazarte usando","anticonceptivos? ¿Kay anticonceptivosta apaykachaspaqa manaña unquq rikhurinaykita yachankichu?","",""
"¿Quisieras utilizar un anticonceptivo?","¿Juk anticonceptivota apaykachankimanchu?","",""
"¿Sabes qué es el condón?","¿Imachus condón kasqanta yachankichu?","",""
"El condón lo usa el varón","Condontaqa qharikuna churakunku","",""
"Tiene que colocarse antes de dormir con la mujer","(relación sexual) Manaraq warmiwan puñuykuchkaspa churakunan tiyan","",""
"Tiene que usar uno nuevo cada que duerma con la mujer (tener relaciones sexuales)","Sapa warmiwan puñuykunanpaq musuq condonta churakunan tiyan","",""
"¿Conoces el condón femenino?","Warmikunapaq condón kan chayta riqsinkichu","",""
"Lo utiliza la mujer","Kaytaqa warmi churakun","",""
"Tienes que colocarte uno antes de la relación","(relación sexual) Sapa qhariwan puñuykunaykipaq musuqta churakunayki tiyan","",""
"Tienes que usar uno nuevo cada que tengan","relaciones sexuales Sapa qhariwan puñuykunaykipaq musuqta churakunayki tiyan","",""
"Ayuda a prevenir enfermedades (infecciones de","transmisión sexual) Ima unquykunamantapis jark’ayta yanapakun","",""
"¿Conoces la tableta vaginal?","¿Tableta vaginalta riqsinkichu?","",""
"Debes usar una nueva para cada relación","(relación sexual)","",""
"¿Conoces la T de Cobre?","¿T de cobreta riqsinkichu?","",""
"Es muy efectivo (para evitar embarazos)","Sumaq mana unquq rikhurinapaq","",""
"Debe colocártelo un médico","Kaytaqa juk jampiq churasunan tiyan","",""
"Puedes quitártelo cuando quieras","Ima ratupis urqurpachikuyta atillanki.","",""
"Puedes tener hijos después de quitártelo","Urqurpachikuytawan watiqmanta wawayuq kayta atillanki","",""
"Es cómodo de usar","Kay T de cobreqa aswan sumaqpuni mana unquq rikhurinapaq","",""
"¿Sabes que son las píldoras anticonceptivas?","¿Yachankichu imachus pildora anticonceptivakuna kasqanta?","",""
"Son muy efectivas para evitar el embarazo","Kaykunaqa sumaq mana unquq rikhurinapaq","",""
"Debes tomar una píldora cada día a la misma","hora Sapa p’unchaw kikin horapi juk pildorata ukyanayki tiyan","",""
"No debes olvidarte de tomar","Mana ukyayta qunqanaykichu tiyan","",""
"Tienes que conseguir un paquete nuevo cada mes (refiriéndose a las píldoras)","Sapa killa juk musuq paqueteta ukyanayki tiyan","",""
"¿Conoces los inyectables anticonceptivos?","¿Mana unquq rikhurinapaq inyestablekunata riqsinkichu?","",""
"Esta debes inyectarte cada mes (refiriéndose a los inyectables)","Kaytaqa sapa killa inyectachikunayki tiyan","",""
"Esta debes inyectarte cada tres meses (refiriéndose a los inyectables)","Kaytaqa sapa kimsa killa inyectachinunayki tiyan","",""
"Son muy cómodas de usar","Kay inyeccionqa aswan sumaqpuni mana unquq rikhurinapaq","",""
"¿Sabes qué es la ligadura de trompas? ¿Imachus ligadura de trompas kasqanta","yachankichu?","",""
"¿Sabes qué es la vasectomía?","¿Imachus vasectomía kasqanta yachankichu?","",""
"Es una operación (cirugía) pequeña (no es difícil)","Juk juch’uy operación kachkan","",""
"No es peligrosa","Mana ima nakunchu","",""
"Después de la operación ya no puedes tener hijos","Operachikuytawanqa mañana wawakunayuq kayta atinkichu","",""
