"Español","Quechua (OPS/OMS Bolivia 2013)","Quechua corregido","Aymara"
"¿Cuándo empezó?","¿Mayk’aq qallarirqa?","",""
"¿Cuándo te has hecho eso?","¿Mayk’aq chayta ruwaqurqanki?","",""
"¿Cuándo ha sucedido?","¿Mayk’aq karqa?","",""
"¿Cuándo ha aparecido?","¿Mayk’aq rikhurirqa?","",""
"¿Hace un ratito?","¿Kunitallanchu?","",""
"¿Ya es una hora?","¿Juk horañachu?","",""
"¿Ya es un día?","¿Juk p’unchawñachu?","",""
"¿Ya es dos días?","¿Iskay p’unchawñachu?","",""
"¿Ya es tres días?","¿Kimsa p’unchawñachu?","",""
"¿Ya es una semana?","¿Juk semanañachu?","",""
"¿Ya es un mes?","¿Juk killañachu?","",""
"¿Ya es un año?","¿Juk watañachu?","",""
"¿Ya es dos años?","¿Iskay watañachu?","",""
"¿Ya es varios años?","¿Achkha watañachu?","",""
"¿A qué rato del día?","¿Ima ratutataq p’unchawpi?","",""
"¿A qué hora del día?","¿Ima horatataq p’unchawpi?","",""
"¿En la mañana?","¿Paqarintachu?","",""
"¿En la tarde?","¿Sukhatachu?","",""
"¿En la noche?","¿Tutapichu?","",""
"¿Toda la noche?","¿Tukuy tutachu?","",""
"¿Todo el día?","¿Tukuy p’unchawchu?","",""
"¿Cómo era?","¿Imaynataq karqa?","",""
"¿Era con sangre?","¿Llawarwanchu karqa?","",""
"¿Era con pus?","¿Q’iyawanchu karqa?","",""
"¿Cuántas veces al día?","¿Machkha kutitataq sapa p’unchaw?","",""
"¿Cuántas veces?","¿Machkha kutitataq?","",""
"¿Una vez?","¿Juk kutitachu?","",""
"¿Cada vez estás más enfermo? (¿está empeorando?)","¿Sapa kutichu astawan unqusqa kachkanki?","",""
"¿Ha empezado de repente?","¿Qhasillamantachu qallarin?","",""
"¿Te está doliendo?","¿Nanachkasunkichu?","",""
"¿Te está doliendo ahora?","¿Kunan nanachkasunkichu?","",""
"¿Qué te duele?","¿Imayki nanasunki?","",""
"¿Dónde te duele?","¿Maypitaq nanasunki?","",""
"¿Desde cuándo te duele?","¿Mayk’aqmantapacha nanasunki?","",""
"¿Cuánto tiempo te duele?","¿Machkha unayta nanasunki?","",""
"¿Te duele hace tiempo?","¿Unayñachu nanasunki?","",""
"¿Cada vez te duele?","¿Sapa kutichu nanasunki?","",""
"¿Antes te ha dolido igual?","¿Ñawpaqta kikillantataqchu nanarqasunki?","",""
"¿Dónde empezó?","¿Maymantataq qallarirqa?","",""
"¿Dónde comenzó tu dolor?","¿Maypi nanayniyki qallarin?","",""
"¿Camina ese tu dolor?","¿Ithiykachanchu chay nanayniyki?","",""
"¿Dónde ha ido ese dolor?","¿Mayman ithirin chay nanay?","",""
"¿Señala dónde ha ido ese dolor?","¿Mayman ithirin chay nanay chayta rikhuchiway?","",""
"¿Sin parar te está doliendo?","¿Mana samarispachu nanachkasunki?","",""
"¿El dolor empieza y se pierde, empieza y se pierde?","¿Nanay qallarintaq chinkarintaq, qallarintaq chinkarintaqchu?","",""
"¿De rato en rato te duele?","¿Ratumanta ratuchu nanasunki?","",""
"¿El dolor se pierde?","¿Nanay chinkarinchu?","",""
"¿A qué hora te duele?","¿Ima horata nanasunki?","",""
"¿En la mañana te duele?","¿Paqarintachu nanasunki?","",""
"¿En la noche te duele?","¿Tutantachu nanasunki?","",""
"¿Todo el día te duele?","¿Tukuy p’unchawchu nanasunki?","",""
"¿Un rato duele?","¿Juk ratitullachu nanasunki?","",""
"¿Mucho rato duele?","¿Unay unaytachu nanasunki?","",""
"¿Cómo es tu dolor?","¿Imaynatataq nanasunki?","",""
"¿Mucho te está doliendo?(¿intenso?)","¿Anchatachu nanachkasunki?","",""
"¿Cómo punzada te está doliendo?","¿T’uqsisqajinachu nanachkasunki?","",""
"¿Te está quemando?","¿Ruphachkasunkichu?","",""
"¿Te oprime?","¿Mat’iykusunkichu?","",""
"¿Te retuerce?","¿Q’iwisunkichu?","",""
